"node_id","longitude","latitude"
5618072218,-79.9957007,40.4390609
5618072217,-79.9962059,40.440067
5607202657,-80.0457997,40.4255393
5607202655,-80.0451554,40.425403
5607199881,-80.046113,40.4260667
5607199880,-80.0464291,40.4258196
5607193198,-80.0450856,40.4207685
5607193192,-80.0453735,40.4200846
5607193191,-80.0456866,40.4200563
5607193189,-80.0454617,40.4202462
5607193188,-80.0451406,40.4196582
5607173046,-80.0642287,40.4124626
5607173042,-80.0644434,40.4125055
5607169925,-80.0511273,40.4177173
5607169924,-80.0508752,40.4173587
5607169921,-80.0513832,40.4177281
5607169217,-80.0506544,40.4184128
5607169216,-80.0506002,40.418597
5607169215,-80.0506883,40.4185455
5607169212,-80.0518342,40.4187252
5607169208,-80.0516296,40.418337
5607169202,-80.0519427,40.4175904
5607140012,-80.0455249,40.4189254
5607140011,-80.0453503,40.4189768
5607140010,-80.0454818,40.419241
5607129851,-80.0466303,40.4191388
5607129850,-80.0467075,40.4193081
5607129849,-80.0465426,40.4189432
5607129846,-80.0461737,40.41896
5607125706,-80.0470023,40.4190456
5607125705,-80.0469315,40.4188992
5607121100,-80.0455351,40.4189871
5607121099,-80.0457214,40.4189235
5607121095,-80.0456996,40.4191913
5607121094,-80.0456175,40.4191226
5607121092,-80.0455627,40.419138
5607121091,-80.0455005,40.4189971
5607121090,-80.0455935,40.4192077
5607121074,-80.0452757,40.4189334
5607121073,-80.0451642,40.4186831
5607121072,-80.0455592,40.4194782
5607121069,-80.0457171,40.4193641
5607083352,-80.0474867,40.4186887
5607083345,-80.0467605,40.4187981
5607083339,-80.0465717,40.4185706
5607083338,-80.0464537,40.418332
5607078646,-80.0473957,40.4189569
5607078645,-80.0476026,40.4188984
5607027965,-80.0413886,40.4143413
5607027963,-80.0404091,40.4144799
5607027962,-80.0398909,40.4146622
5607027961,-80.0400558,40.4146042
5607027960,-80.0401221,40.4145809
5607027959,-80.0403952,40.4144848
5607027958,-80.0406128,40.4144155
5607027957,-80.04143,40.4143048
5607022488,-80.0397448,40.4147136
5607022486,-80.0399531,40.4144425
5607020910,-80.0396424,40.4145553
5602235171,-80.0046577,40.4412438
5602235170,-80.0046745,40.4412167
5602235167,-80.0049694,40.4408686
5602235166,-80.0046055,40.4402331
5602235161,-80.0055447,40.4402873
5602235157,-80.0054565,40.4405483
5602235156,-80.0056308,40.4401543
5602235155,-80.0056181,40.4401739
5602235154,-80.005676,40.4398396
5602235152,-80.0052613,40.4404678
5602235149,-80.0052888,40.4405848
5602235148,-80.0045285,40.4403475
5602235146,-80.0051007,40.4405792
5602235142,-80.0053683,40.4410321
5602235139,-80.0055228,40.4410122
5602235138,-80.0055426,40.4410535
5602235137,-80.0055596,40.4410841
5594623679,-80.0424449,40.4220486
5594623678,-80.0427024,40.4219125
5594623596,-80.0423597,40.4219799
5594622667,-80.0412435,40.4212798
5594622666,-80.0424646,40.421917
5594622665,-80.0427009,40.4218098
5594622664,-80.0417593,40.4217073
5594622662,-80.0424313,40.421708
5594622661,-80.0416189,40.4215356
5594622660,-80.0423391,40.4215838
5594622659,-80.0415164,40.4213591
5594622658,-80.0423351,40.4214251
5594587357,-80.0456177,40.4320299
5584373980,-80.0631187,40.4375413
5584373979,-80.0631402,40.4374546
5584373974,-80.0629228,40.4375267
5584373970,-80.0634536,40.4373345
5584373959,-80.0633557,40.4372767
5578673423,-80.0399378,40.4194755
5578673422,-80.0400483,40.4194292
5578673421,-80.0394034,40.4190348
5578673420,-80.0394464,40.4190612
5578673419,-80.0363049,40.4184034
5578673418,-80.0362952,40.4184582
5578673417,-80.0361136,40.4190066
5578673416,-80.0361,40.4190621
5578673415,-80.0359275,40.4189717
5578673414,-80.035909,40.4190245
5578673413,-80.0357361,40.4189261
5578673412,-80.035718,40.4189869
5578673411,-80.0355496,40.4188912
5578673410,-80.035535,40.4189509
5578673409,-80.0353409,40.418871
5578673408,-80.033913,40.4186821
5578673407,-80.0339407,40.4186495
5578673406,-80.0337495,40.4185933
5578673405,-80.0337679,40.4185666
5578673404,-80.0328076,40.4181004
5578673403,-80.0328019,40.4181691
5578673402,-80.0329993,40.4181198
5578673401,-80.0329929,40.4181899
5578673400,-80.0331975,40.4181545
5578673399,-80.0331905,40.4182115
5578673398,-80.0333928,40.4181743
5578673397,-80.0333865,40.418233
