"node_id","longitude","latitude"
5701935809,-0.0939639,51.518912
5695662023,-0.1290897,51.5134105
5691860845,-0.1154178,51.5017611
5691853813,-0.1142633,51.4998113
5691853812,-0.1143277,51.499757
5683526639,-0.0835999,51.526454
5683526637,-0.0829594,51.5266089
5683503199,-0.0888658,51.5254354
5683492750,-0.1000825,51.523216
5683492749,-0.0995339,51.5233853
5683492746,-0.0838832,51.5260453
5683492744,-0.0907801,51.5254991
5683492743,-0.1016228,51.5225841
5683492741,-0.0873642,51.5251535
5683492740,-0.0998989,51.5232704
5683492738,-0.0995756,51.523337
5683492735,-0.0838944,51.5261977
5683492734,-0.0994124,51.5231528
5683492732,-0.0907316,51.5253594
5683492730,-0.0959124,51.5241978
5683492724,-0.0881958,51.5255599
5683492721,-0.0994764,51.5232301
5681570462,-0.0682129,51.5294868
5681570443,-0.0682768,51.5292063
5681558735,-0.0584348,51.5257519
5681555369,-0.0592034,51.5296666
5681555366,-0.059715,51.5296406
5677722965,-0.1239954,51.5080357
5677722963,-0.1240559,51.5079927
5677722957,-0.1231765,51.5077066
5677586483,-0.1246101,51.507759
5664152975,-0.1315299,51.5248292
5664132735,-0.13237,51.5248468
5664132732,-0.1323611,51.5248907
5664132729,-0.132339,51.5248197
5664132726,-0.1325857,51.5245655
5664132725,-0.1323906,51.5248742
5664132724,-0.1323037,51.5248361
5664132723,-0.1323332,51.5248642
5659876323,-0.075616,51.5171677
5659876321,-0.0731116,51.5203021
5659848631,-0.07261,51.5269306
5659848630,-0.0725579,51.5268532
5659819963,-0.0711559,51.5309516
5659819956,-0.0709946,51.5307223
5650649170,-0.096683,51.530738
5650574675,-0.1209533,51.5304364
5650574672,-0.1209461,51.5304853
5642519069,-0.1051921,51.5182078
5642519068,-0.1051411,51.5179963
5642519054,-0.1051736,51.5181261
5641663539,-0.0826298,51.513268
5633635646,-0.0542365,51.51131
5633625189,-0.0561816,51.5109878
5633625188,-0.0568893,51.5109711
5633618070,-0.1187741,51.5246645
5633618063,-0.1193615,51.5253941
5633618058,-0.1184245,51.5255914
