"edge_id","source","target","length","car","car.reverse","bike","bike.reverse","foot","WKT","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l17.1","l19","l20","l21","l22","l23","l24","l25","l26","l27","l28","l29","l30","l31","l32","l33","l34","l35","l36","l37","l38","l39","l40","l41","l42","l43","l44","l45","l46","l47","l48","l49","l50","l51","l52","l53","l54","l55","l56","l57","l58","l59","l60","l61","l62","l63","l64","l65","saftyScore","edgeBetweenness","f","betweenness"
303,4961818950,302756093,64.5044631958,0,0,5,5,1,"LINESTRING(-79.9431325 40.4438908","-79.942401 40.4437277)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,24,52,52
312,1782739734,302755745,23.2713508606,0,0,5,5,1,"LINESTRING(-79.9414856 40.4439503","-79.9412225 40.4438894)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,234,79,79
201,302984522,302985823,75.1029968262,0,0,5,5,1,"LINESTRING(-79.9356044 40.4341034","-79.9356644 40.4341557","-79.9357503 40.4342079","-79.9358619 40.4342537","-79.9359707 40.4343131","-79.9360593 40.4343582","-79.9361537 40.4344235","-79.9362807 40.4344547","-79.9363386 40.434457)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,46,71,71
56,1781186412,472546699,6.61692905426,1,1,2,2,1,"LINESTRING(-79.9407609 40.4415823","-79.940685 40.441568)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1166,1306,1306
217,105058010,270186904,94.80418396,2,2,2,2,1,"LINESTRING(-79.9435123 40.4396882","-79.9433303 40.4398799","-79.9432568 40.4399458","-79.9431756 40.4399984","-79.9430593 40.4400594","-79.942943 40.4401087","-79.9428047 40.4401454","-79.9427005 40.440163","-79.9426392 40.4401684)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,30,129,129
294,2726467783,4388097840,334.05456543,0,0,5,5,1,"LINESTRING(-79.9426087 40.4402584","-79.9427133 40.4402541","-79.9428827 40.4402194","-79.9431009 40.4401475","-79.9432767 40.4400558","-79.9434461 40.439917","-79.9437848 40.4395997","-79.9441886 40.4391783","-79.9443156 40.4390767","-79.9444817 40.4389949","-79.944713 40.438928","-79.9454197 40.4387842","-79.9456607 40.4387594","-79.9458007 40.4387693)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,243,84,84
227,3103583474,3103583477,45.9106178284,1,1,2,2,1,"LINESTRING(-79.9352971 40.4387175","-79.9350598 40.4386272","-79.9349471 40.4386001","-79.9347889 40.4385881)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,774,753.166666666667,753.166666666667
302,302450472,302450446,56.6329917908,0,0,5,5,1,"LINESTRING(-79.9423634 40.4404353","-79.942605 40.4404494","-79.942902 40.4404738","-79.9430157 40.4404288)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,52,1,1
53,1713340583,104683089,25.7962665558,1,1,2,2,1,"LINESTRING(-79.9418579 40.441825","-79.9416957 40.4417904","-79.9415669 40.4417563)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,827.333333333333,84,84
155,472546497,3527087235,205.878341675,0,0,5,5,1,"LINESTRING(-79.9407688 40.440137","-79.940697 40.4400891","-79.9405329 40.4400403","-79.9403255 40.4398752","-79.939671 40.4397532","-79.9393372 40.4395939","-79.9389261 40.4396082","-79.938547 40.4395752)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,79,96,96
