"edge_id","length","car","car.reverse","bike","bike.reverse","foot","saftyScore","betweenness","Speed_limit","Hilliness","lss","logbetweenness","residuals","predicted","logbetweennesst"
165,17.7187786102,0,0,5,5,1,1,82,55,"flat",1,5.88934,0.00772462910751537,0.997964618842618,0
261,133.850646973,0,0,5,5,1,1,897,55,"flat",1,5.851331,0.00146865334850788,0.996430161358808,5.851331
129,65.049659729,0,0,5,5,1,1,375,55,"flat",1,5.851331,0.00393176183852795,0.992383098265806,5.851331
11,133.965316772,1,1,2,2,1,1,196,55,"flat",1,5.88934,0.00107928014000347,0.999999999970085,0
151,1647.33813477,2,2,2,2,1,1,143.666666666667,20,"flat",1,5.88934,7.28916926817647e-12,1,0
167,21.6604652405,0,0,5,5,1,1,62,20,"flat",1,5.88934,0.00835170638913607,0.997433383429573,0
87,7.55377197266,0,0,5,5,1,1,90,20,"flat",1,5.88934,0.0102063286643012,0.997000709842196,0
179,9.05226898193,0,0,5,5,1,1,116,20,"flat",1,5.88934,0.00999138765104368,0.997049925915285,0
158,28.911233902,1,1,2,2,1,1,78,20,"flat",1,5.88934,0.00555360708487551,0.999999999873802,0
13,108.957435608,1,1,2,2,1,1,19.5,20,"flat",1,0,0.00176770240040469,0.99720829556755,0
141,65.8814544678,0,0,5,5,1,1,400,20,"flat",1,5.851331,0.00444544167146621,0.990076356627684,5.851331
279,322.462432861,0,0,5,5,1,1,30,20,"flat",1,0,0.000112432001355467,0.999782326846329,0
91,8.33270168304,0,0,5,5,1,1,380,20,"flat",1,5.851331,0.0100940356932121,0.981395149146079,5.851331
126,24.9210186005,0,0,5,5,1,1,363,20,"flat",1,5.851331,0.00797301456554511,0.984468871130478,5.851331
189,16.0378856659,0,0,5,5,1,1,28,20,"up",1,0,0.0724304968544941,0.927176580956957,0
37,103.616996765,1,1,2,2,1,1,682.666666666667,20,"up",1,5.851331,0.0160891298823933,0.945895983189118,5.851331
177,12.4708995819,0,0,5,5,1,1,235,15,"up",1,5.88934,0.0773122872434244,0.965330740178179,0
266,113.003967285,1,1,2,2,1,1,402,15,"up",1,5.851331,0.0143611580311774,0.949104118947457,5.851331
72,47.3718833923,0,0,5,5,1,1,63,15,"up",1,5.88934,0.0483272734806011,0.976179954705744,0
97,40.7003479004,0,0,5,5,1,1,315,15,"up",1,5.88934,0.0529252936777196,0.974400192232054,0
122,15.7832612991,1,1,2,2,1,1,160,15,"up",1,5.88934,0.0555267511132763,0.99999999816013,0
153,46.2631111145,4,4,2,2,1,1,126,15,"up",1,5.88934,0.535831841523455,0.999999997683278,0
2004004909,662.396118164,0,0,5,5,1,0.40625,18,25,"down",1,0,5.24325733743947e-05,0.999349976142621,0
2004016283,993.741943359,0,0,5,5,1,0.420195439739414,1,25,"down",1,0,2.22044604925031e-16,0.999983419335825,0
2004016780,523.535827637,1,1,2,2,1,0.5,63,35,"down",1,5.88934,0.000272149013219813,0.999999999937176,0
2005411590,36.1182327271,0,0,5,5,1,0,79,25,"down",0,5.88934,-0.704661372477846,0.779670831485134,0
2006031516,179.841949463,4,4,2,2,1,0,1397,25,"down",0,5.851331,-0.456105386789069,0.0465055253496285,5.851331
2007063708,82.1672821045,0,0,5,5,1,0,58,25,"down",0,5.88934,-0.822056540100603,0.854918156300168,0
2007097747,46.718006134,0,0,5,5,1,0,498,25,"down",0,5.851331,-0.73530142508269,0.385015048029778,5.851331
2008030497,2.62749624252,0,0,5,5,1,0,924,25,"down",0,5.851331,-0.5960522853784,0.277562540304353,5.851331
2008048216,197.007110596,4,4,2,2,1,1,129,25,"down",1,5.88934,0.482440266134402,0.999999995538338,0
2008109807,232.316360474,2,2,2,2,1,0.5,120,25,"down",1,5.88934,0.226879486436391,0.999999996079848,0
2008119436,112.662239075,4,4,2,2,1,0,417.666666666666,25,"down",0,5.851331,-0.242324078851338,0.0226534927894227,5.851331
2009115331,56.6059608459,1,1,2,2,1,0,2,25,"down",0,0,-0.0616829954571485,0.608163150466656,0
2010051343,28.911233902,1,1,2,2,1,0.5,80,25,"up",1,5.88934,0.0447546074965456,0.999999998529753,0
2011048284,104.818717957,4,4,2,2,1,0,2523,25,"up",0,5.851331,-0.675960648758607,0.190346375049888,5.851331
2011058798,38.2318077087,1,1,2,2,1,1,30,25,"up",1,0,0.0393727350083712,0.933376104324766,0
2013045332,7.9903717041,1,1,2,2,1,0,753.166666666667,20,"up",0,5.851331,-0.939418086619633,0.858420334166439,5.851331
2016083706,80.1163330078,1,1,2,2,1,0,2459,25,"up",0,5.851331,-0.978022329117889,0.933417656584372,5.851331
2015119084,12.3671216965,2,2,2,2,1,0,785,25,"up",0,5.851331,-0.514446817912463,0.212850564061381,5.851331
2015127272,29.4298877716,0,0,5,5,1,0,56,25,"flat",0,0,-0.992664774690848,0.994657074779522,0
